"time";"value"
Jan 1967;434
Feb 1967;427
Mar 1967;449
Apr 1967;399
May 1967;471
Jun 1967;457
Jul 1967;476
Aug 1967;474
Sep 1967;474
Oct 1967;481
Nov 1967;439
Dec 1967;464
Jan 1968;463
Feb 1968;423
Mar 1968;478
Apr 1968;455
May 1968;487
Jun 1968;452
Jul 1968;479
Aug 1968;489
Sep 1968;468
Oct 1968;502
Nov 1968;472
Dec 1968;511
Jan 1969;495
Feb 1969;449
Mar 1969;525
Apr 1969;498
May 1969;502
Jun 1969;483
Jul 1969;539
Aug 1969;539
Sep 1969;447
Oct 1969;521
Nov 1969;523
Dec 1969;526
Jan 1970;495
Feb 1970;431
Mar 1970;446
Apr 1970;449
May 1970;497
Jun 1970;481
Jul 1970;536
Aug 1970;499
Sep 1970;472
Oct 1970;488
Nov 1970;496
Dec 1970;486
Jan 1971;495
Feb 1971;414
Mar 1971;491
Apr 1971;478
May 1971;431
Jun 1971;481
Jul 1971;533
Aug 1971;492
Sep 1971;490
Oct 1971;509
Nov 1971;482
Dec 1971;411
Jan 1972;426
Feb 1972;433
Mar 1972;358
Apr 1972;434
May 1972;503
Jun 1972;440
Jul 1972;513
Aug 1972;529
Sep 1972;523
Oct 1972;521
Nov 1972;555
Dec 1972;488
Jan 1973;504
Feb 1973;494
Mar 1973;547
Apr 1973;523
May 1973;526
Jun 1973;427
Jul 1973;591
Aug 1973;560
Sep 1973;587
Oct 1973;553
Nov 1973;565
Dec 1973;542
Jan 1974;580
Feb 1974;507
Mar 1974;537
Apr 1974;477
May 1974;504
Jun 1974;489
Jul 1974;445
Aug 1974;539
Sep 1974;587
Oct 1974;601
Nov 1974;619
Dec 1974;594
Jan 1975;520
Feb 1975;493
Mar 1975;447
Apr 1975;443
May 1975;483
Jun 1975;444
Jul 1975;441
Aug 1975;518
Sep 1975;496
Oct 1975;397
Nov 1975;489
Dec 1975;477
Jan 1976;493
Feb 1976;433
Mar 1976;505
Apr 1976;372
May 1976;455
Jun 1976;487
Jul 1976;494
Aug 1976;478
Sep 1976;462
Oct 1976;501
Nov 1976;458
Dec 1976;505
Jan 1977;483
Feb 1977;391
Mar 1977;517
Apr 1977;569
May 1977;597
Jun 1977;573
Jul 1977;535
Aug 1977;549
Sep 1977;582
Oct 1977;587
Nov 1977;483
Dec 1977;524
Jan 1978;583
Feb 1978;522
Mar 1978;550
Apr 1978;475
May 1978;547
Jun 1978;581
Jul 1978;618
Aug 1978;542
Sep 1978;565
Oct 1978;576
Nov 1978;516
Dec 1978;571
Jan 1979;572
Feb 1979;486
Mar 1979;573
Apr 1979;529
May 1979;543
Jun 1979;537
Jul 1979;530
Aug 1979;576
Sep 1979;602
Oct 1979;585
Nov 1979;524
Dec 1979;603
Jan 1980;579
Feb 1980;508
Mar 1980;569
Apr 1980;432
May 1980;375
Jun 1980;450
Jul 1980;582
Aug 1980;536
Sep 1980;494
Oct 1980;486
Nov 1980;471
Dec 1980;502
Jan 1981;566
Feb 1981;493
Mar 1981;525
Apr 1981;517
May 1981;532
Jun 1981;482
Jul 1981;537
Aug 1981;562
Sep 1981;420
Oct 1981;461
Nov 1981;391
Dec 1981;409
Jan 1982;473
Feb 1982;382
Mar 1982;468
Apr 1982;440
May 1982;472
Jun 1982;434
Jul 1982;448
Aug 1982;370
Sep 1982;258
Oct 1982;240
Nov 1982;297
Dec 1982;294
Jan 1983;231
Feb 1983;243
Mar 1983;285
Apr 1983;277
May 1983;317
Jun 1983;323
Jul 1983;351
Aug 1983;338
Sep 1983;323
Oct 1983;332
Nov 1983;332
Dec 1983;317
Jan 1984;343
Feb 1984;307
Mar 1984;343
Apr 1984;283
May 1984;287
Jun 1984;333
Jul 1984;347
Aug 1984;332
Sep 1984;352
Oct 1984;320
Nov 1984;308
Dec 1984;342
Jan 1985;332
Feb 1985;290
Mar 1985;342
Apr 1985;312
May 1985;353
Jun 1985;362
Jul 1985;405
Aug 1985;381
Sep 1985;381
Oct 1985;394
Nov 1985;376
Dec 1985;388
Jan 1986;388
Feb 1986;316
Mar 1986;353
Apr 1986;355
May 1986;349
Jun 1986;360
Jul 1986;329
Aug 1986;375
Sep 1986;384
Oct 1986;350
Nov 1986;339
Dec 1986;338
Jan 1987;314
Feb 1987;247
Mar 1987;267
Apr 1987;235
May 1987;248
Jun 1987;244
Jul 1987;237
Aug 1987;233
Sep 1987;236
Oct 1987;222
Nov 1987;192
Dec 1987;202
Jan 1988;192
Feb 1988;207
Mar 1988;250
Apr 1988;239
May 1988;237
Jun 1988;214
Jul 1988;209
Aug 1988;220
Sep 1988;217
Oct 1988;251
Nov 1988;241
Dec 1988;239
Jan 1989;187
Feb 1989;201
Mar 1989;217
Apr 1989;221
May 1989;187
Jun 1989;188
Jul 1989;221
Aug 1989;222
Sep 1989;231
Oct 1989;236
Nov 1989;194
Dec 1989;200
Jan 1990;190
Feb 1990;136
Mar 1990;198
Apr 1990;211
May 1990;188
Jun 1990;213
Jul 1990;230
Aug 1990;228
Sep 1990;227
Oct 1990;209
Nov 1990;187
Dec 1990;217
Jan 1991;199
Feb 1991;182
Mar 1991;228
Apr 1991;197
May 1991;221
Jun 1991;197
Jul 1991;214
Aug 1991;222
Sep 1991;217
Oct 1991;208
Nov 1991;178
Dec 1991;203
Jan 1992;210
Feb 1992;182
Mar 1992;219
Apr 1992;202
May 1992;209
Jun 1992;231
Jul 1992;235
Aug 1992;232
Sep 1992;211
Oct 1992;222
Nov 1992;207
Dec 1992;160
Jan 1993;179
Feb 1993;161
Mar 1993;174
Apr 1993;171
May 1993;150
Jun 1993;143
Jul 1993;133
Aug 1993;138
Sep 1993;139
Oct 1993;137
Nov 1993;137
Dec 1993;126
Jan 1994;92
Feb 1994;129
Mar 1994;135
Apr 1994;143
May 1994;141
